timestamp,integer
2.07,59.39
5.1,59.0
10.03,102.0
13.09,59.0
17.03,60.0
20.1,60.0
23.18,60.0
27.03,105.0
30.1,62.0
33.12,60.58
36.96,59.6
40.02,59.0
43.1,59.0
47.03,59.0
50.04,104.0
53.1,104.0
57.03,60.27
60.03,61.26
63.1,62.0
66.9,106.0
70.03,106.19
73.1,62.82
76.51,61.84
80.03,80.87
83.1,134.89
86.27,214.0
90.02,152.0
93.1,205.0
96.52,224.03
100.02,91.0
103.1,224.0
106.51,155.0
110.02,233.06
113.09,220.0
116.33,60.0
120.03,61.0
123.09,61.0
126.16,60.16
130.03,59.18
133.08,104.0
136.12,104.0
140.03,103.0
143.04,59.0
146.12,59.0
150.03,60.0
153.09,60.0
156.14,60.0
160.03,61.0
163.06,106.0
166.09,106.0
169.83,61.42
173.03,61.0
176.11,105.0
179.58,61.0
183.03,60.0
186.1,60.0
189.5,104.0
193.02,60.0
196.09,59.0
199.43,103.0
203.03,105.0
206.1,105.36
209.38,62.0
213.02,61.68
216.1,61.0
219.1,61.0
223.02,61.0
226.03,61.0
229.09,105.0
232.88,61.0
236.03,62.0
239.1,62.0
242.62,61.0
246.03,104.0
249.1,104.0
252.46,61.0
256.02,61.0
259.1,106.0
262.29,107.0
266.03,63.0
269.02,62.0
272.09,61.0
275.75,105.0
279.03,61.0
282.09,61.0
285.54,105.0
289.03,60.0
292.1,61.0
295.46,105.0
299.02,105.0
302.1,62.0
305.22,61.0
309.05,61.0
312.1,61.0
315.97,61.73
319.03,62.0
322.09,104.31
325.65,60.0
329.03,61.0
332.09,61.0
335.56,105.0
339.03,60.0
342.1,104.0
345.4,61.0
349.03,105.0
352.1,60.0
355.24,104.0
359.03,60.0
362.09,104.0
365.16,60.45
369.02,61.0
372.11,60.0
376.02,104.0
379.07,104.37
382.1,61.35
385.95,62.33
389.03,62.0
392.1,106.0
395.56,62.0
399.03,105.0
402.09,61.0
405.24,60.0
409.03,60.0
412.09,104.0
415.18,60.0
419.04,104.86
422.1,60.0
425.09,60.0
429.02,104.0
432.02,105.0
435.1,62.0
438.89,62.0
442.03,62.0
445.1,62.0
448.45,61.0
452.03,61.0
455.09,61.0
458.22,104.0
462.03,104.0
465.1,104.0
468.12,60.85
472.03,61.0
475.03,61.0
478.1,105.0
481.89,61.0
485.03,60.0
488.1,59.0
491.86,103.0
495.03,59.0
498.1,104.0
501.94,59.35
505.03,104.0
508.1,60.0
511.92,105.0
515.04,61.0
518.09,104.0
521.76,104.0
525.02,104.0
528.1,104.0
531.64,104.0
535.03,104.0
538.1,60.0
541.58,60.42
545.03,61.0
548.09,60.0
551.41,60.0
555.02,60.0
558.1,60.0
561.3,104.0
565.03,59.0
568.1,59.0
571.38,59.0
575.03,103.0
578.09,59.0
581.41,59.0
585.02,59.0
588.09,59.0
591.5,103.12
595.03,105.0
598.1,61.0
601.33,105.0
606.03,61.03
609.09,63.0
612.47,62.0
616.04,105.0
619.08,60.0
623.02,60.0
626.06,104.0
629.1,61.0
633.02,106.87
636.09,107.0
639.73,63.0
643.02,60.19
646.09,59.0
649.33,58.0
653.03,58.75
656.1,60.0
659.52,61.0
663.03,61.0
666.09,61.0
669.31,105.0
673.02,61.0
676.09,105.0
679.1,60.42
683.0,59.0
686.03,59.0
689.1,59.0
693.03,104.0
696.09,60.0
699.1,61.0
703.03,62.0
706.02,61.0
709.1,104.0
712.77,60.0
716.03,103.64
719.11,103.0
722.76,102.32
726.03,59.0
729.09,60.0
732.93,105.0
736.02,61.0
739.09,60.0
742.69,60.0
746.03,61.0
749.1,105.83
752.61,60.85
756.03,60.0
759.09,59.89
762.51,59.0
766.02,60.0
769.11,61.0
772.47,62.0
776.03,62.0
779.1,62.0
782.16,62.0
786.01,61.05
789.03,109.92
792.33,69.91
795.74,117.0
798.71,119.0
801.85,72.15
804.91,67.33
808.03,59.38
811.1,56.21
814.58,99.77
818.03,59.75
821.09,101.54
824.54,98.29
828.11,53.0
832.06,54.0
835.09,56.0
838.8,58.0
842.03,104.0
845.09,60.0
848.93,60.0
852.03,60.0
855.09,104.53
858.9,59.49
862.03,101.52
865.1,57.0
868.3,57.45
872.03,59.0
875.1,103.0
878.51,104.0
