timestamp,elapsed_time,action_count
2.08,-1,1
5.11,-3.0300000000000002,1
10.03,-7.949999999999999,1
13.1,-11.02,1
17.05,1,1
20.11,-1,2
23.19,1,2
27.04,-1,3
30.13,1,3
33.13,-1,4
36.98,-3.8499999999999943,4
40.04,-6.909999999999997,4
43.12,1,4
47.04,-1,5
50.05,1,5
53.1,3.0500000000000043,5
57.06,-1,6
60.05,-2.989999999999995,6
63.12,-6.059999999999995,6
66.92,1,6
70.04,-1,7
73.12,1,7
76.57,3.4499999999999886,7
80.04,6.920000000000002,7
83.12,-1,8
86.29,1,8
90.04,-1,9
93.11,-3.069999999999993,9
96.54,-6.5,9
100.04,-10.0,9
103.11,-13.069999999999993,9
106.52,1,9
110.04,-1,10
113.11,-3.069999999999993,10
116.35,-6.309999999999988,10
120.05,1,10
123.1,3.049999999999997,10
126.18,-1,11
130.05,1,11
133.09,-1,12
136.14,1,12
140.05,-1,13
143.06,1,13
146.14,3.079999999999984,13
150.05,-1,14
153.11,1,14
156.15,-1,15
160.05,1,15
163.06,-1,16
166.11,-3.0500000000000114,16
169.86,1,16
173.04,-1,17
176.13,-3.0900000000000034,17
179.59,-6.550000000000011,17
183.05,1,17
186.11,-1,18
189.52,1,18
193.04,-1,19
196.11,-3.0700000000000216,19
199.45,-6.409999999999997,19
203.03,1,19
206.11,-1,20
209.41,-3.299999999999983,20
213.04,1,20
216.12,3.0800000000000125,20
219.11,6.070000000000022,20
223.04,-1,21
226.05,1,21
229.11,-1,22
232.88,1,22
236.05,3.170000000000016,22
239.11,6.230000000000018,22
242.63,9.75,22
246.05,13.170000000000016,22
249.12,-1,23
252.47,-3.3499999999999943,23
256.04,1,23
259.12,-1,24
262.3,1,24
266.05,-1,25
269.04,-2.990000000000009,25
272.1,1,25
275.77,3.669999999999959,25
279.05,-1,26
282.11,-3.0600000000000023,26
285.55,-6.5,26
289.05,1,26
292.12,3.069999999999993,26
295.48,-1,27
299.03,-3.5499999999999545,27
302.12,-6.639999999999986,27
305.24,-9.759999999999991,27
309.05,-13.569999999999993,27
312.11,-16.629999999999995,27
315.99,1,27
319.05,3.0600000000000023,27
322.11,6.1200000000000045,27
325.67,9.680000000000007,27
329.04,13.050000000000011,27
332.1,16.110000000000014,27
335.57,19.579999999999984,27
339.05,23.060000000000002,27
342.12,-1,28
345.42,-3.3000000000000114,28
349.04,-6.920000000000016,28
352.11,-9.990000000000009,28
355.26,-13.139999999999986,28
359.05,-16.930000000000007,28
362.1,-19.980000000000018,28
365.18,1,28
369.04,-1,29
372.12,1,29
376.04,-1,30
379.08,1,30
382.12,-1,31
385.96,1,31
389.04,3.080000000000041,31
392.11,-1,32
395.58,1,32
399.05,3.4700000000000273,32
402.12,-1,33
405.25,1,33
409.05,-1,34
412.1,-3.0500000000000114,34
415.19,-6.139999999999986,34
419.04,1,34
422.12,3.079999999999984,34
425.12,-1,35
429.03,-3.909999999999968,35
432.05,1,35
435.12,-1,36
438.9,-3.7799999999999727,36
442.04,1,36
445.11,-1,37
448.47,1,37
452.05,3.579999999999984,37
455.11,-1,38
458.24,-3.1299999999999955,38
462.04,1,38
465.11,3.069999999999993,38
468.14,6.099999999999966,38
472.05,-1,39
475.05,-3.0,39
478.12,1,39
481.91,-1,40
485.04,-3.1299999999999955,40
488.13,1,40
491.91,3.7800000000000296,40
495.04,-1,41
498.1,-3.0600000000000023,41
501.95,-6.909999999999968,41
505.04,-10.0,41
508.11,1,41
511.94,3.829999999999984,41
515.05,6.939999999999941,41
518.09,9.980000000000018,41
521.78,-1,42
525.05,-3.269999999999982,42
528.13,1,42
531.66,-1,43
535.04,-3.3799999999999955,43
538.13,1,43
541.59,-1,44
545.05,-3.4599999999999227,44
548.11,-6.519999999999982,44
551.43,1,44
555.05,-1,45
558.13,1,45
561.31,3.17999999999995,45
565.06,-1,46
568.12,1,46
571.4,3.2799999999999727,46
575.05,-1,47
578.1,-3.050000000000068,47
581.43,-6.3799999999999955,47
585.04,-9.990000000000009,47
588.11,-13.06000000000006,47
591.53,1,47
595.05,3.519999999999982,47
598.1,6.57000000000005,47
601.36,-1,48
