timestamp,elapsed_time,action_count
2.35,-1,1
5.38,-3.03,1
10.31,-7.960000000000001,1
13.38,-11.030000000000001,1
17.3,1,1
20.38,3.0799999999999983,1
23.47,6.169999999999998,1
27.31,10.009999999999998,1
30.38,13.079999999999998,1
33.4,-1,2
37.25,1,2
40.32,-1,3
43.39,-3.0700000000000003,3
47.31,-6.990000000000002,3
50.31,1,3
53.37,3.059999999999995,3
57.31,-1,4
60.3,-2.989999999999995,4
63.38,-6.07,4
67.17,-9.86,4
70.32,-13.009999999999991,4
73.37,-16.060000000000002,4
76.79,1,4
80.31,-1,5
83.39,-3.0799999999999983,5
86.54,-6.230000000000004,5
90.31,-10.0,5
93.39,-13.079999999999998,5
96.79,1,5
100.31,-1,6
103.39,1,6
106.81,-1,7
110.31,-3.5,7
113.38,1,7
116.63,-1,8
120.31,1,8
123.4,3.0900000000000034,8
126.46,6.1499999999999915,8
130.31,10.0,8
133.42,13.109999999999985,8
136.42,16.109999999999985,8
140.32,-1,9
143.35,1,9
146.42,-1,10
150.3,-3.880000000000024,10
153.39,1,10
156.41,3.0200000000000102,10
160.32,6.930000000000007,10
163.35,-1,11
166.38,1,11
170.11,3.730000000000018,11
173.33,-1,12
176.36,1,12
179.85,-1,13
183.32,1,13
186.39,-1,14
189.78,1,14
193.33,-1,15
196.39,1,15
199.72,3.3300000000000125,15
203.31,-1,16
206.4,1,16
209.67,3.269999999999982,16
213.3,-1,17
216.4,-3.0999999999999943,17
219.39,1,17
223.3,-1,18
226.32,1,18
229.4,3.0800000000000125,18
233.15,-1,19
236.33,-3.180000000000007,19
239.37,1,19
242.9,-1,20
246.31,1,20
249.39,-1,21
252.74,1,21
256.37,3.6299999999999955,21
259.38,6.639999999999986,21
262.57,9.829999999999984,21
266.31,13.569999999999993,21
269.3,16.560000000000002,21
272.38,19.639999999999986,21
276.04,-1,22
279.31,-3.269999999999982,22
282.38,-6.339999999999975,22
285.83,1,22
289.31,-1,23
292.38,-3.069999999999993,23
295.75,-6.439999999999998,23
299.31,-10.0,23
302.39,1,23
305.5,3.1100000000000136,23
309.33,-1,24
312.41,1,24
316.24,3.829999999999984,24
319.3,6.889999999999986,24
322.37,9.95999999999998,24
325.93,13.519999999999982,24
329.31,-1,25
332.38,1,25
335.84,-1,26
339.3,1,26
342.38,-1,27
345.68,-3.3000000000000114,27
349.3,1,27
352.38,-1,28
355.52,1,28
359.3,-1,29
362.39,-3.089999999999975,29
365.45,1,29
369.3,-1,30
372.38,1,30
376.29,-1,31
379.34,1,31
382.38,-1,32
386.23,-3.8500000000000227,32
389.3,1,32
392.38,3.079999999999984,32
395.84,-1,33
399.3,1,33
402.39,-1,34
405.53,-3.1399999999999864,34
409.31,-6.920000000000016,34
412.39,1,34
415.48,3.090000000000032,34
419.31,6.920000000000016,34
422.44,-1,35
425.4,-2.9599999999999795,35
429.31,-6.8700000000000045,35
432.31,1,35
435.39,-1,36
439.18,1,36
442.31,3.1299999999999955,36
445.41,6.230000000000018,36
448.73,9.550000000000011,36
452.33,13.149999999999977,36
455.39,-1,37
458.5,-3.1100000000000136,37
462.34,-6.949999999999989,37
465.4,-10.009999999999991,37
468.46,1,37
472.31,3.8500000000000227,37
475.31,6.850000000000023,37
478.38,-1,38
482.18,-3.8000000000000114,38
485.32,1,38
488.39,-1,39
492.15,-3.759999999999991,39
495.31,-6.920000000000016,39
498.38,1,39
502.21,-1,40
505.32,1,40
508.37,-1,41
512.21,1,41
515.32,-1,42
518.39,-3.0699999999999363,42
522.05,1,42
525.32,3.2700000000000955,42
528.39,6.340000000000032,42
