timestamp,delta_absolute,delta_percentage,delta_absolute_past,delta_percentage_past
389.29,76.0,9.5,724.0,476.3157894736843
392.37,158.0,19.75,882.0,1160.5263157894735
395.83,140.0,17.5,782.0,494.9367088607595
399.29,164.0,20.5,824.0,588.5714285714287
402.36,168.0,21.0,804.0,490.2439024390244
405.52,152.0,19.0,784.0,466.6666666666667
409.29,206.0,25.75,854.0,561.8421052631579
412.36,212.0,26.5,806.0,391.2621359223301
415.46,210.0,26.25,798.0,376.4150943396226
419.3,204.0,25.5,794.0,378.0952380952381
422.41,188.0,23.5,784.0,384.3137254901961
425.37,216.0,27.0,828.0,440.42553191489355
429.3,198.0,24.75,782.0,362.037037037037
432.29,206.0,25.75,808.0,408.080808080808
435.37,170.0,21.25,764.0,370.873786407767
439.16,126.0,15.75,756.0,444.7058823529412
442.3,128.0,16.0,802.0,636.5079365079365
445.36,146.0,18.25,818.0,639.0625
448.71,162.0,20.25,816.0,558.9041095890411
452.31,176.0,22.0,814.0,502.46913580246917
455.37,154.0,19.25,778.0,442.04545454545456
458.49,198.0,24.75,844.0,548.051948051948
462.32,220.0,27.500000000000004,822.0,415.1515151515151
465.37,204.0,25.5,784.0,356.3636363636364
468.39,212.0,26.5,808.0,396.07843137254906
472.29,188.0,23.5,776.0,366.0377358490566
475.29,206.0,25.75,818.0,435.10638297872345
478.36,202.0,25.25,796.0,386.4077669902913
482.16,194.0,24.25,792.0,392.0792079207921
485.3,148.0,18.5,754.0,388.659793814433
488.37,188.0,23.5,840.0,567.5675675675675
492.14,224.0,28.000000000000004,836.0,444.6808510638298
495.3,216.0,27.0,792.0,353.57142857142856
498.37,172.0,21.5,756.0,350.0
502.2,186.0,23.25,814.0,473.2558139534884
505.29,184.0,23.0,798.0,429.0322580645161
508.36,164.0,20.5,780.0,423.9130434782608
512.19,160.0,20.0,796.0,485.3658536585366
515.31,188.0,23.5,828.0,517.5
518.37,216.0,27.0,828.0,440.42553191489355
522.03,198.0,24.75,782.0,362.037037037037
525.3,226.0,28.249999999999996,828.0,418.1818181818182
528.37,198.0,24.75,772.0,341.5929203539823
