timestamp,integer
2.33,990.0
5.37,1008.0
10.3,1036.0
13.36,1026.0
17.29,1014.0
20.36,972.0
23.46,958.0
27.3,1004.0
30.37,1020.0
33.39,966.0
37.23,948.0
40.3,1010.0
43.37,1040.0
47.29,1004.0
50.29,1036.0
53.36,1010.0
57.29,976.0
60.29,1022.0
63.36,1004.0
67.16,978.0
70.3,984.0
73.36,970.0
76.77,962.0
80.29,918.0
83.37,960.0
86.53,1018.0
90.31,1010.0
93.37,1028.0
96.78,1006.0
100.29,1024.0
103.37,982.0
106.78,992.0
110.3,968.0
113.36,988.0
116.6,1008.0
120.29,1004.0
123.37,982.0
126.43,982.0
130.29,984.0
133.34,1006.0
136.41,1002.0
140.29,926.0
143.33,1004.0
146.4,964.0
150.29,1012.0
153.37,1024.0
156.4,994.0
160.3,1022.0
163.32,1004.0
166.36,988.0
170.1,976.0
173.31,986.0
176.36,1002.0
179.84,1018.0
183.3,998.0
186.37,1008.0
189.76,1010.0
193.3,946.0
196.36,982.0
199.69,1018.0
203.29,1012.0
206.37,982.0
209.65,964.0
213.29,962.0
216.37,938.0
219.37,984.0
223.28,990.0
226.3,964.0
229.36,990.0
233.15,940.0
236.3,984.0
239.36,1002.0
242.88,950.0
246.3,1010.0
249.37,1006.0
252.72,1004.0
256.32,990.0
259.37,976.0
262.56,974.0
266.29,922.0
269.29,938.0
272.36,954.0
276.02,966.0
279.3,982.0
282.37,1000.0
285.81,990.0
289.3,1010.0
292.36,1010.0
295.74,1002.0
299.29,936.0
302.37,988.0
305.49,968.0
309.31,982.0
312.37,982.0
316.23,986.0
319.29,950.0
322.36,930.0
325.91,996.0
329.3,990.0
332.36,982.0
335.83,962.0
339.29,936.0
342.37,1006.0
345.67,1008.0
349.29,1000.0
352.37,996.0
355.51,1012.0
359.29,1022.0
362.37,996.0
365.44,1004.0
369.29,986.0
372.37,950.0
376.28,1028.0
379.33,1000.0
382.36,976.0
386.21,952.0
389.29,876.0
392.37,958.0
395.83,940.0
399.29,964.0
402.36,968.0
405.52,952.0
409.29,1006.0
412.36,1012.0
415.46,1010.0
419.3,1004.0
422.41,988.0
425.37,1016.0
429.3,998.0
432.29,1006.0
435.36,970.0
439.16,926.0
442.3,928.0
445.36,946.0
448.71,962.0
452.31,976.0
455.37,954.0
458.48,998.0
462.32,1020.0
465.37,1004.0
468.39,1012.0
472.29,988.0
475.29,1006.0
478.36,1002.0
482.16,994.0
485.3,948.0
488.37,988.0
492.14,1024.0
495.3,1016.0
498.37,972.0
502.2,986.0
505.29,984.0
508.36,964.0
512.19,960.0
515.31,988.0
518.37,1016.0
522.03,998.0
525.3,1026.0
528.37,998.0
