timestamp,bool
2.09,True
5.11,True
10.04,True
13.1,True
17.05,False
20.11,False
23.21,False
27.06,False
30.13,False
33.15,True
36.99,False
40.05,True
43.13,True
47.04,True
50.07,False
53.11,False
57.06,True
60.05,True
63.12,True
66.93,True
70.06,True
73.13,True
76.59,False
80.06,True
83.13,True
86.3,True
90.05,True
93.13,True
96.54,False
100.05,True
103.13,False
106.54,True
110.04,True
113.13,False
116.35,True
120.06,False
123.1,False
126.18,False
130.06,False
133.09,False
136.15,False
140.06,True
143.07,False
146.15,True
150.06,True
153.12,False
156.17,False
160.06,False
163.08,True
166.12,False
169.86,False
173.04,True
176.13,False
179.59,True
183.05,False
186.11,True
189.58,False
193.05,True
196.11,False
199.45,False
203.03,True
206.13,False
209.41,False
213.05,True
216.13,True
219.13,False
223.05,True
226.07,False
229.13,False
232.89,True
236.05,True
239.13,False
242.65,True
246.06,False
249.12,True
252.49,False
256.05,False
259.13,False
262.32,False
266.06,False
269.06,False
272.12,False
275.78,True
279.06,True
282.11,True
285.56,False
289.06,True
292.12,True
295.48,True
299.03,True
302.15,False
305.25,False
309.07,True
312.11,False
315.99,False
319.05,False
322.11,False
325.67,False
329.05,True
332.11,False
335.57,True
339.05,False
342.12,True
345.42,True
349.04,False
352.12,True
355.26,False
359.05,True
362.1,True
365.18,False
369.04,True
372.14,False
376.05,True
379.08,False
382.13,True
385.98,True
389.06,False
392.11,False
395.6,True
399.07,False
402.12,True
405.25,True
409.06,True
412.17,False
415.19,False
419.04,False
422.13,True
425.13,True
429.04,True
432.05,False
435.12,True
438.9,False
442.05,False
445.12,False
448.48,False
452.06,False
455.11,True
458.25,True
462.06,True
465.13,True
468.14,False
472.06,False
475.08,False
478.13,True
481.93,True
485.04,False
488.13,True
491.91,True
495.06,True
498.12,False
501.97,True
505.04,False
508.13,True
511.95,False
515.05,True
518.09,True
521.79,False
525.05,False
528.14,False
531.67,True
535.06,False
538.13,True
541.6,False
545.06,True
548.12,True
551.44,True
555.05,False
558.15,True
561.31,False
565.07,True
568.13,True
571.41,True
575.06,True
578.1,False
581.44,True
585.04,True
588.11,False
591.54,True
595.05,False
598.11,False
601.37,True
606.04,True
609.11,False
612.49,False
616.06,False
619.11,False
623.04,False
626.07,False
629.13,False
633.03,False
636.09,True
639.75,False
643.06,True
646.11,True
649.36,False
653.06,False
656.12,True
659.56,True
663.06,False
666.13,False
669.33,False
673.05,False
676.12,True
679.13,True
683.03,True
686.07,True
689.12,True
693.06,True
696.12,True
699.13,False
703.08,False
706.05,False
709.14,False
712.79,True
716.06,True
719.13,False
722.76,True
726.04,True
729.12,True
732.97,True
736.05,False
739.1,False
742.72,False
746.05,False
749.12,True
752.64,False
756.06,True
759.12,False
762.54,True
766.05,False
769.13,True
772.49,True
776.07,True
779.12,True
782.19,True
786.04,True
789.05,True
792.36,True
795.76,True
798.74,False
801.85,False
804.93,False
808.06,False
811.13,False
814.61,True
818.06,False
821.11,False
824.57,True
828.13,False
832.17,False
835.12,True
838.81,False
842.06,False
845.11,True
848.95,True
852.06,True
855.12,True
858.92,False
862.07,False
865.13,False
868.32,True
872.06,False
875.13,True
878.65,False
