timestamp,elapsed_time,action_count
2.09,1,0
5.12,-1,1
10.04,-4.919999999999999,1
13.1,-7.9799999999999995,1
17.05,-11.93,1
20.11,1,1
23.21,-1,2
27.06,-3.849999999999998,2
30.16,1,2
33.15,2.9899999999999984,2
36.99,-1,3
40.05,1,3
43.13,-1,4
47.04,1,4
50.07,3.030000000000001,4
53.12,-1,5
57.06,1,5
60.06,-1,6
63.13,-3.0700000000000003,6
66.93,1,6
70.06,3.1299999999999955,6
73.13,-1,7
76.59,1,7
80.06,3.469999999999999,7
83.13,6.539999999999992,7
86.3,-1,8
90.05,1,8
93.13,3.0799999999999983,8
96.55,-1,9
100.05,1,9
103.13,-1,10
106.54,-3.410000000000011,10
110.05,-6.920000000000002,10
113.13,-10.0,10
116.35,1,10
120.06,-1,11
123.11,-3.049999999999997,11
126.19,-6.1299999999999955,11
130.06,1,11
133.09,-1,12
136.15,-3.0600000000000023,12
140.06,-6.969999999999999,12
143.07,-9.97999999999999,12
146.16,-13.069999999999993,12
150.07,-16.97999999999999,12
153.12,-20.03,12
156.17,-23.079999999999984,12
160.06,-26.97,12
163.08,-29.99000000000001,12
166.13,-33.03999999999999,12
169.86,-36.77000000000001,12
173.04,1,12
176.14,3.0999999999999943,12
179.62,-1,13
183.07,1,13
186.13,3.0600000000000023,13
189.58,6.510000000000019,13
193.06,-1,14
196.11,1,14
199.45,3.339999999999975,14
203.03,-1,15
206.13,1,15
209.41,3.280000000000001,15
213.05,6.920000000000016,15
216.13,10.0,15
219.13,-1,16
223.05,1,16
226.07,-1,17
229.13,1,17
232.89,3.759999999999991,17
236.06,6.930000000000007,17
239.13,10.0,17
242.65,13.52000000000001,17
246.06,-1,18
249.13,-3.069999999999993,18
252.49,-6.430000000000007,18
256.05,1,18
259.13,-1,19
262.32,1,19
266.06,-1,20
269.06,-3.0,20
272.12,-6.060000000000002,20
275.78,1,20
279.06,-1,21
282.13,1,21
285.56,-1,22
289.06,1,22
292.12,3.0600000000000023,22
295.48,6.420000000000016,22
299.03,9.96999999999997,22
302.2,13.139999999999986,22
305.25,16.189999999999998,22
309.07,20.00999999999999,22
312.11,23.05000000000001,22
315.99,26.930000000000007,22
319.05,29.99000000000001,22
322.11,-1,23
325.67,1,23
329.05,-1,24
332.11,-3.0600000000000023,24
335.57,1,24
339.05,-1,25
342.12,1,25
345.42,3.3000000000000114,25
349.05,-1,26
352.12,1,26
355.26,-1,27
359.05,-3.7900000000000205,27
362.1,-6.840000000000032,27
365.18,-9.920000000000016,27
369.04,1,27
372.14,3.099999999999966,27
376.05,7.009999999999991,27
379.08,-1,28
382.13,1,28
385.98,-1,29
389.06,-3.079999999999984,29
392.12,-6.139999999999986,29
395.6,-9.620000000000005,29
399.07,-13.089999999999975,29
402.13,-16.149999999999977,29
405.25,1,29
409.06,3.8100000000000023,29
412.17,6.920000000000016,29
415.19,-1,30
419.05,-3.8600000000000136,30
422.14,1,30
425.13,2.990000000000009,30
429.04,6.900000000000034,30
432.06,-1,31
435.12,1,31
438.91,3.7900000000000205,31
442.05,-1,32
445.12,-3.069999999999993,32
448.48,1,32
452.06,3.579999999999984,32
455.11,-1,33
458.25,-3.1399999999999864,33
462.06,-6.949999999999989,33
465.13,-10.019999999999982,33
468.14,1,33
472.07,3.930000000000007,33
475.09,6.949999999999989,33
478.18,10.04000000000002,33
481.93,13.79000000000002,33
485.06,-1,34
488.14,-3.079999999999984,34
491.91,1,34
495.06,-1,35
498.12,1,35
501.97,3.8500000000000227,35
505.04,6.920000000000016,35
508.13,10.009999999999991,35
511.95,-1,36
515.05,1,36
518.11,3.060000000000059,36
521.79,6.740000000000009,36
